CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4521052,2/24/15 15:34,2/25/15 10:11,2/25/15 10:11,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3437 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758605705872, -122.417672962773)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ed0a87df86cdc211f84b91/photo_20150224_153428.jpg
4521040,2/24/15 15:30,2/25/15 10:58,2/25/15 10:58,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"953 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.757977425757, -122.416615993614)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ed0975df86cdc211f84b72/photo_20150224_152931.jpg
4521007,2/24/15 15:21,2/25/15 10:58,2/25/15 10:58,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:there is a request to a,city crew to repalce this tree.   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"1080 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755875567831, -122.416794720794)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ed0788df86cdc211f84b20/photo_20150224_152055.jpg
4519671,2/24/15 10:26,2/25/15 9:39,2/25/15 9:39,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"1960 FOLSOM ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765922105618, -122.415564642563)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ecc257df86cdc211f8454b/photo_20150224_102526.jpg
4519627,2/24/15 10:15,2/25/15 9:58,2/25/15 9:58,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of 16TH ST and SHOTWELL ST,9,Mission,"(37.765249409965, -122.416387642122)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ecbfcbdf86cdc211f844ff/photo_20150224_101440.jpg
4507396,2/19/15 12:44,2/25/15 12:00,2/25/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:tree is limbed at only 4.5' could,use,some crown elevation. .   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"1334 NORIEGA ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.754381596776, -122.478147102255)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e64b0fdf86cdc211f8008f/report.jpg
4506644,2/19/15 9:38,2/25/15 11:37,2/25/15 11:37,Closed,Case Completed - resolved: Request Letter Sent.   multiple letters have been sent,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"716 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761669712385, -122.417219832216)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e61f96df86cdc211f7fc92/photo_20150219_093757.jpg
4506529,2/19/15 9:22,2/25/15 10:28,2/25/15 10:28,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created, natural storm failure sent owner a letter.   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3471 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758561159887, -122.418410573047)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e61bcedf86cdc211f7fba2/photo_20150219_092145.jpg
4506517,2/19/15 9:21,2/25/15 10:13,2/25/15 10:13,Closed,Case Completed - resolved: no missing tree at the listed adress. The landscaped basin at 3471 is too close to a sewer line to replanr,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3465 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758569126078, -122.418278665517)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e61b5ddf86cdc211f7fb8d/photo_20150219_091955.jpg
4506505,2/19/15 9:19,2/25/15 10:18,2/25/15 10:18,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3490 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758748879542, -122.418813932864)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e61b11df86cdc211f7fb6c/photo_20150219_091820.jpg
4464696,2/5/15 22:20,2/25/15 8:54,2/25/15 8:54,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created. emptu basin .   BUF Action:Inspect. date completed - 2/25/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Backfill tree basin,"239 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768227824429, -122.418779162902)",Voice In,
4462150,2/5/15 10:14,2/25/15 8:50,2/25/15 8:50,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"199 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768257987614, -122.417473219081)",Voice In,
4437687,1/28/15 15:22,6/2/15 5:07,6/2/15 5:07,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:sr request for pruning. clearance from building.  remove bricks from tree pit if you can and backfill. em 2.4.2015 ::  Closed By CMMS SO 461494CMMS Comments: Trimmed ficusfrom CMMS: Trimmed ficus ::  Closed By CMMS SO 466433.   BUF Action:Prune. date completed - 6/2/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"403 ASHBURY ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.77169060257, -122.447450476708)",Voice In,
4528767,2/26/15 23:52,2/28/15 2:24,2/28/15 2:24,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Landscaping,Other,"100 VAN NESS AVE, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.776731421779, -122.419316106666)",Integrated Agency,
4528669,2/26/15 21:58,3/12/15 12:23,3/12/15 12:23,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of ARGUELLO BLVD and JACKSON ST,2,Presidio Terrace,"(37.7893009047389, -122.45945257061)",Voice In,
4528442,2/26/15 19:52,3/6/15 1:33,3/6/15 1:33,Closed,Case Completed - resolved: No such address there are no trees missing from the approximate address. Not sure where the photo was taken.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"423 GOUGH ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,"(37.777243213725, -122.423229055941)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54efea0ddf86cdc211f875bc/report.jpg
4528349,2/26/15 18:57,3/19/15 12:55,3/19/15 12:55,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of ARGUELLO BLVD and SACRAMENTO ST,2,Presidio Terrace,"(37.7866231652427, -122.459255925741)",Voice In,
4528129,2/26/15 17:22,,2/26/15 17:52,Open,accepted,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Near communication line,"375 OAK ST, SAN FRANCISCO, CA, 94102",5,Lower Haight,"(37.77453738427, -122.425402490903)",Voice In,
4527795,2/26/15 16:11,,2/27/15 9:41,Open,in progress,DPW BUF Queue,Tree Maintenance,Damaging Property,Property damage,"40 CANYON DR, SAN FRANCISCO, CA, 94112",11,Crocker Amazon,"(37.709035050174, -122.430741716062)",Voice In,
4527417,2/26/15 14:34,,2/26/15 14:35,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"738 POTRERO AVE, SAN FRANCISCO, CA, 94110",10,Mission,"(37.760109987397, -122.407200446651)",Voice In,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ef7890df86cdc211f86a71/photo_20150226_115034.jpg
4527225,2/26/15 13:50,3/31/15 9:41,3/31/15 9:41,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/31/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of 17TH AVE and ORTEGA ST,7,Golden Gate Heights,"(37.75247174386, -122.474205074512)",Voice In,
4527220,2/26/15 13:49,3/31/15 9:41,3/31/15 9:41,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/31/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of 17TH AVE and PACHECO ST,7,Golden Gate Heights,"(37.7506043383347, -122.474075191733)",Voice In,
4527089,2/26/15 13:19,5/15/15 8:13,5/15/15 8:13,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Hanging limb,"3069 PINE ST, SAN FRANCISCO, CA, 94115",2,Lower Pacific Heights,"(37.786126691163, -122.446283174593)",Voice In,
4527054,2/26/15 13:13,,2/26/15 13:16,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaging Property,Lifted sidewalk tree roots,"298 GOUGH ST, SAN FRANCISCO, CA, 94102",5,Civic Center,"(37.775715775907, -122.422575039685)",Voice In,
4527053,2/26/15 13:13,,2/26/15 13:14,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaging Property,Lifted sidewalk tree roots,"797 43RD AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.773706893831, -122.503758401914)",Voice In,
4527020,2/26/15 13:02,3/11/15 7:16,3/11/15 7:16,Closed,Case Completed - resolved: trees not within 10 ft of front of property (edge of public right-of-way) are outside of City jurisdiction. Tree may belong to Laguna Honda Rehabilitation Center,DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"136 DELLBROOK AVE, SAN FRANCISCO, CA, 94131",7,Midtown Terrace,"(37.748877832742, -122.453444739584)",Voice In,
4526970,2/26/15 12:51,11/19/15 8:51,11/19/15 8:51,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:from CMMS:  ::  Closed By CMMS SO 489497.   BUF Action:Plant. date completed - 11/19/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"505 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.762652260522, -122.428288691887)",Voice In,
4526914,2/26/15 12:26,3/1/15 12:05,3/1/15 12:05,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,"2918 19TH AVE, SAN FRANCISCO, CA, 94132",7,Merced Manor,"(37.734083142124, -122.474858123515)",Voice In,
4526792,2/26/15 11:52,2/28/15 2:18,2/28/15 2:18,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"2974 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748441709277, -122.409140554766)",Voice In,
4526745,2/26/15 11:39,2/26/15 23:10,2/26/15 23:10,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,Intersection of 22ND ST and POTRERO AVE,9,Mission,"(37.7561669340524, -122.406635803789)",Voice In,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ef75ccdf86cdc211f86a4d/photo_20150226_113640.jpg
4526454,2/26/15 10:41,3/24/15 3:22,3/24/15 3:22,Closed,Case Completed - resolved: sign was cleared at 2440 Taraval,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of 35TH AVE and TARAVAL ST,4,Parkside,"(37.7422956888103, -122.492836844432)",Web Self Service,
4526393,2/26/15 10:33,2/26/15 15:19,2/26/15 15:19,Closed,"Case Completed - resolved: this tree will be removed this saturday due to,the,construction taking place during the week on,potrero.",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1123 POTRERO AVE, SAN FRANCISCO, CA, 94110",10,Potrero Hill,"(37.753967770991, -122.406076049954)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ef66d8df86cdc211f868ba/photo_20150226_102931.jpg
4525761,2/26/15 8:38,2/26/15 12:54,2/26/15 12:54,Closed,"Case Completed - resolved: Request Letter Sent.   letter has been sent to homeowner telling,them to,replant. please be,patient.",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1239 CLAYTON ST, SAN FRANCISCO, CA, 94117",5,Ashbury Heights,"(37.761243440257, -122.446620348486)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ef4bf2df86cdc211f86337/report.jpg
4525622,2/26/15 7:59,2/26/15 10:55,2/26/15 10:55,Closed,"Case Completed - resolved: I will contact Fran Martin of the Vis Valley Greenway to forward request. Chris Buck, DPW.",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"163 TEDDY AVE, SAN FRANCISCO, CA, 94134",10,Visitacion Valley,"(37.71425326483, -122.405779183995)",Voice In,
4525594,2/26/15 7:48,2/27/15 12:17,2/27/15 12:17,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Hanging limb,"2481 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",9,Portola,"(37.723096789784, -122.401667016426)",Voice In,
4525423,2/26/15 5:50,2/26/15 11:13,2/26/15 11:13,Closed,Case Completed - resolved: small debris just off the curb. confirm whose property it is.,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of DOUGLASS ST and SEWARD ST,8,Eureka Valley,"(37.7578555674132, -122.439074027765)",Voice In,
4521155,2/24/15 16:01,2/26/15 8:54,2/26/15 8:54,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:stem failure at codominant  union. .   BUF Action:Inspect. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"451 JACKSON ST, SAN FRANCISCO, CA, 94111",3,North Beach,"(37.796411924973, -122.402753544694)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ed10b9df86cdc211f84c46/photo_20150224_160002.jpg
4519577,2/24/15 9:58,2/26/15 11:47,2/26/15 11:47,Closed,"Case Completed - resolved: these palms are seldom pruned due to the high occurrence of fusarium infection but they are monitored by our agency,when,pruning is drastically needed.",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"765 DOLORES ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.757181482732, -122.425381963039)",Voice In,
4516324,2/23/15 9:48,2/26/15 10:24,2/26/15 10:24,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking sidewalk,"117 JUDSON AVE, SAN FRANCISCO, CA, 94112",7,Sunnyside,"(37.728158396833, -122.444721653209)",Voice In,
4510034,2/20/15 11:54,2/26/15 1:47,2/26/15 1:47,Closed,Case Completed - resolved: cleaned up.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"766 SUTTER ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.788762891133, -122.413099541094)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e75436df86cdc211f807f2/photo_20150220_073327.jpg
4509598,2/20/15 10:03,2/26/15 14:15,2/26/15 14:15,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:letter sent for empty basin..   BUF Action:Inspect. date completed - 2/19/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"1361 BUSH ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.788635050641, -122.419764464498)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54e776f1df86cdc211f80b2f/photo_20150220_100240.jpg
4509330,2/20/15 8:51,6/12/15 9:28,6/12/15 9:28,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:prune street light,and building. ::   ::  Closed By CMMS SO 463894from CMMS:  ::  Closed By CMMS SO 470758.   BUF Action:Prune. date completed - 6/12/2015. "".",DPW Ops Queue,Tree Maintenance,Damaging Property,Hitting window or building,"542 MONTEREY BLVD, SAN FRANCISCO, CA, 94127",7,Sunnyside,"(37.731702657647, -122.447582364762)",Voice In,
4508389,2/19/15 16:20,2/26/15 11:28,2/26/15 11:28,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of FOERSTER ST and MANGELS AVE,7,Sunnyside,"(37.733068646907, -122.448873372763)",Web Self Service,
4502570,2/17/15 21:00,2/26/15 12:00,2/26/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:jh sent letter already telling to,replant. em.   BUF Action:Inspect. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"2130 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763117185223, -122.412971595417)",Voice In,
4437364,1/28/15 14:13,2/26/15 10:47,2/26/15 10:47,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:jh sent them,aletter 2.2.2015. .   BUF Action:Inspect. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Backfill tree basin,"470 14TH ST, SAN FRANCISCO, CA, 94103",8,Mission Dolores,"(37.768149640984, -122.42372067049)",Voice In,
4412084,1/20/15 17:19,4/11/15 6:26,4/11/15 6:26,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:plant empty basin.  ::  Closed By CMMS SO 447992.   BUF Action:Plant. date completed - 4/11/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Other,"194 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Duboce Triangle,"(37.767932791378, -122.429157771249)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54befe97df865a0667cd2938/report.jpg
4412080,1/20/15 17:19,4/11/15 6:26,4/11/15 6:26,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:plant empty basin.  ::  Closed By CMMS SO 447992.   BUF Action:Plant. date completed - 4/11/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Other,"194 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Duboce Triangle,"(37.767932791378, -122.429157771249)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54befe87df865a0667cd292c/report.jpg
4407969,1/19/15 16:33,2/26/15 1:37,2/26/15 1:37,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  BUF Action:Remove-Plant (Landscape): CMMS. date completed - 2/26/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Dead tree,"210 GELLERT DR, SAN FRANCISCO, CA, 94132",7,Lakeshore,"(37.730152158918, -122.492839863014)",Voice In,
4531892,2/27/15 21:37,3/5/15 6:54,3/5/15 6:54,Closed,Case Completed - resolved: removed hanger,DPW BUF Queue,Tree Maintenance,Damaged Tree,About to fall,Intersection of OAK ST and WEBSTER ST,5,Lower Haight,"(37.7741814211394, -122.429178508872)",Voice In,
4531730,2/27/15 19:38,3/2/15 10:18,3/2/15 10:18,Closed,Case Completed - resolved: removed limbs,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"95 MONTEREY BLVD, SAN FRANCISCO, CA, 94131",7,Sunnyside,"(37.731416571658, -122.437461680679)",Integrated Agency,
4531711,2/27/15 19:32,,2/27/15 19:32,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"845 LAGUNA ST, SAN FRANCISCO, CA, 94102",5,Western Addition,"(37.778729946591, -122.426862444421)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f136b1df86cdc211f88256/report.jpg
4531709,2/27/15 19:31,9/4/15 12:00,9/4/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:pave location, too close to stop sign.   SIRP Abatement Completed.   BUF Action:Pave. date completed - 9/4/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,Intersection of LAGUNA ST and MCALLISTER ST,5,Western Addition,"(37.7792579793287, -122.426828576457)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f13699df86cdc211f8824c/report.jpg
4531703,2/27/15 19:26,3/5/15 12:00,3/5/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:another sr reporting fine.   BUF Action:Inspect. date completed - 3/5/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"317 BROADWAY, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.798340232052, -122.40249778843)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f13549df86cdc211f8823f/report.jpg
4531426,2/27/15 17:25,2/28/15 7:53,2/28/15 7:53,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created, clearances look relatively ok but could use more clearance over the street. CB.   BUF Action:Inspect. date completed - 2/28/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"100 MALLORCA WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.801731972387, -122.437385104569)",Web Self Service,
4530897,2/27/15 15:10,7/23/15 8:43,7/23/15 8:43,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Pruning request,"2710 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750996183719, -122.409010370371)",Voice In,
4530738,2/27/15 14:36,2/28/15 10:43,2/28/15 10:43,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of GEARY ST and POWELL ST,3,Downtown / Union Square,"(37.7873592737769, -122.408226867453)",Integrated Agency,
4530737,2/27/15 14:36,3/19/15 12:47,3/19/15 12:47,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of MARKET ST and POWELL ST,6,South of Market,"(37.7845600181277, -122.407337077679)",Integrated Agency,
4530734,2/27/15 14:36,3/19/15 12:41,3/19/15 12:41,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of MARKET ST and TURK ST,6,Tenderloin,"(37.7832878821779, -122.408952214449)",Integrated Agency,
4530593,2/27/15 13:57,8/17/15 12:46,8/17/15 12:46,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:remove tree and,stump from CMMS: .   BUF Action:Remove-Grind-Plant: CMMS. date completed - 8/17/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"1115 POTRERO AVE, SAN FRANCISCO, CA, 94110",10,Potrero Hill,"(37.754023452297, -122.406216714949)",Voice In,
4530542,2/27/15 13:46,,2/27/15 13:48,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of GEARY ST and POWELL ST,3,Downtown / Union Square,"(37.7873592737769, -122.408226867453)",Voice In,
4530306,2/27/15 12:40,3/5/15 10:18,3/5/15 10:18,Closed,Case Completed - resolved: Half of tree fell on 2/27 tree was unsafe removed remaining tree,DPW BUF Queue,Tree Maintenance,Tree Other,Other,"1042 HAIGHT ST, SAN FRANCISCO, CA, 94117",5,Buena Vista,"(37.771089551229, -122.439560067688)",Integrated Agency,
4530272,2/27/15 12:28,,2/27/15 12:29,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"47 COLLINGWOOD ST, SAN FRANCISCO, CA, 94114",8,Castro,"(37.761648268176, -122.436052946435)",Voice In,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f0c35cdf86cdc211f87b87/report.jpg
4530264,2/27/15 12:27,3/3/15 9:36,3/3/15 9:36,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3437 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758605705872, -122.417672962773)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f0d30fdf86cdc211f87d48/photo_20150227_122625.jpg
4530254,2/27/15 12:24,,3/3/15 12:22,Open,accepted,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"2397 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.758715547103, -122.418991168925)",Open311,
4530174,2/27/15 12:08,4/23/15 3:52,4/23/15 3:52,Closed,"Case Completed - resolved: We need to send letter to property owner. Tree is on private property. Determine which property, send letter. CB. garbage has been removed",DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of 4TH ST and BERRY ST,6,Mission Bay,"(37.7757873667785, -122.393355158935)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f0cea6df86cdc211f87c9a/report.jpg
4529871,2/27/15 11:04,3/12/15 2:38,3/12/15 2:38,Closed,Case Completed - resolved: Tree was removed with a permit. The tree will not be replanted.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Dead tree,"1142 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.753578658133, -122.411207547679)",Web Self Service,
4529791,2/27/15 10:45,2/27/15 14:49,2/27/15 14:49,Closed,Case Completed - resolved: made safe for the night their arborist is coming tomorrow,DPW BUF Queue,Tree Maintenance,Damaged Tree,About to fall,"208 FAIR OAKS ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.753082231692, -122.424255565711)",Voice In,
4529773,2/27/15 10:42,3/17/15 10:24,3/17/15 10:24,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created, empty basin.   BUF Action:Inspect. date completed - 3/17/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"1990 FOLSOM ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765557797846, -122.415491958004)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54f0ba8bdf86cdc211f87b0c/photo_20150227_104108.jpg
4529760,2/27/15 10:38,3/13/15 12:00,3/13/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 3/13/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of FRANCE AVE and VIENNA ST,11,Excelsior,"(37.7173601364923, -122.432753838604)",Web Self Service,
4529516,2/27/15 9:46,10/5/15 6:08,10/5/15 6:08,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Landscaping,Other,Intersection of LA SALLE AVE and WHITFIELD CT,10,Bayview,"(37.7311745479923, -122.381608235932)",Integrated Agency,
4529515,2/27/15 9:45,3/12/15 6:09,3/12/15 6:09,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Landscaping,Other,Intersection of LA SALLE AVE and OSCEOLA LN,10,Bayview,"(37.7315292328193, -122.381948552502)",Integrated Agency,
4516338,2/23/15 9:51,2/27/15 10:23,2/27/15 10:23,Closed,Case Completed - resolved: The ligature has been removed.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"955 CLAYTON ST, SAN FRANCISCO, CA, 94117",5,Ashbury Heights,"(37.764450377725, -122.447546285995)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54eb68a5df86cdc211f832d2/report.jpg
